Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Tags,Summary
Bad Habit,adropofmercury,24331009,23 May 2020,General Audiences,"F/M, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"5,772",1,4,77,7,900,"
Creator Chose Not To Use Archive WarningsDraco Malfoy/Harry Potter Hermione Granger/Ron WeasleyDraco Malfoy Harry Potter Ginny Weasley Ron Weasley Hermione Granger Moaning Myrtle Pansy Parkinson
","
It was difficult being the boyfriend of The Boy Who Lived, especially when you have a past like Draco's. Between the mounting pressure of his work as a healer, harassment from the press, and increasing jealousy of the friendship Harry had with his school girlfriend, Ginny Weasley, Draco blew up and walked out of Harry's life. But both he and Harry found themselves seeking bad habits, the need for each others comforts. Except, they were both too proud to say it, instead wallowing in self-pity until an accident forces them to talk.
Inspired by 'Bad Habit' from Ben Platt's debut LP 'Sing To Me Instead'.
"
Testor Ego Amorem Perpetuum,ABlackRaven,24331033,25 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"44,465",12,109,1249,181,21686,"
No Archive Warnings ApplyCedric Diggory/Harry Potter Cedric Diggory & Harry PotterHarry Potter Cedric Diggory Ron Weasley Hermione Granger Sirius Black Cho Chang Albus Dumbledore Tom Riddle | VoldemortHedric Soulmates Romantic Soulmates Alternate Universe - Soulmates Hurt/Comfort Fluff and Angst Angst with a Happy Ending Bisexuality Implied/Referenced Child Abuse Abusive Dursley Family (Harry Potter) Cedric Diggory Lives Or does he Book 4: Harry Potter and the Goblet of Fire Anxiety Panic Attacks Torture Emotional Hurt/Comfort Healing Alternate Universe - Canon Divergence Violence a bit worse than canon Slow Burn Eventual Romance I promise the soulmate thing isn't weird or cringy Or at least I really hope it isn't
","
""Testor Ego Amorem Perpetuum.""I Swear Perpetual Love.Cedric feels drawn to protect Harry Potter. Whether this be from Dementors on a Quidditch pitch or the tasks of a life-threatening tournament, he's determined to help him. He can't help but worry about the younger boy. Eventually friendship takes root and potentially...something more?Harry feels drawn to Cedric, safe when he is near. He certainly has no shortage of dangers in his life, from an abusive home life to the growing threat of Voldemort. He cant help the guilt that he puts Cedric in danger by proximity. Eventually friendship takes root and potentially...could he hope for something more?And when the end of the third task goes horribly wrong, will either of them survive?A rewrite of Book 4 revolving around Harry and Cedric.
"
All In Harmony,RiverWriter,24331327,23 May 2020,Mature,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"1,824",1,12,134,16,1217,"
Creator Chose Not To Use Archive WarningsHermione Granger/Harry PotterHarry Potter Hermione GrangerRomance Friendship One Shot Collection
","
A collection of Harmony centric drabbles, story ideas, and one shots. Updated sporadically
"
Fallacy,Shackleddamsel,24331573,23 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,219",1,4,111,9,2465,"
Creator Chose Not To Use Archive WarningsHarry Potter/Severus SnapeHarry Potter Severus Snape Hermione Granger Ron WeasleyEstablished Relationship
","
Harry Potter thought  it was finally  time to move on from Severus bloody Snape. Severus  doesn't  seem to agree.
"
Unholy,skylar_storm13,24331588,23 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"2,939",1,22,274,36,6268,"
No Archive Warnings ApplyHermione Granger/Tom RiddleHermione Granger Tom Riddle Ron Weasley Harry Potter Ginny Weasley Luna LovegoodTomione Smut Fest 2020 Alternate Universe - Modern Setting Alternate Universe - College/University Smut a little dirty talk voyeurism kink? Enemies and Lovers Ron Weasley Bashing
","
Tomione Smut Fest 2020
Prompt: Hate Sex
"
vows under the auspices (only shooting stars),jacksgreyson,24331612,30 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"15,511",1,71,789,233,7680,"
No Archive Warnings ApplyNara Shikako & Original Character(s) Nara Shikako & Harry Potter Kankurou (Naruto) & Nara Shikako Gaara (Naruto) & Nara Shikako Nara Shikako & Uzumaki Naruto Haku (Naruto) & Temari (Naruto) Nara Shikako & Temari (Naruto)Nara Shikako Original Character(s) - Character Harry Potter Kankurou (Naruto) Gaara (Naruto) Temari (Naruto) Uzumaki Naruto Haku (Naruto) Uchiha Sasuke Hatake KakashiFuture Fic Canon Compliant Zombies Deathly Hallows Master of Death (Harry Potter) Master of Death Harry Potter Shinigami
","
Making the world a better place isn't easy and happiness does not come for free.... But that doesn't mean they're not worth the effort.(Or, Shikako faces the future and hits the ground running)
"
He's a Keeper,MatthewWuzHere,24331627,23 May 2020,Explicit,"F/M, M/M",No Archive Warnings Apply,Work in Progress,English,"1,582",1,0,12,1,151,"
No Archive Warnings ApplyDraco Malfoy/Harry Potter Hermione Granger/Ron WeasleyHarry Potter Draco Malfoy Luna Lovegood Hermione Granger Ron Weasley Ginny Weasley Original CharactersAngst Fluff Eventual Smut Slow Burn Alternate Universe Quidditch Quote: I Solemnly Swear That I Am Up To No Good (Harry Potter) Other Additional Tags to Be Added I Will Go Down With This Ship Fluff and Angst Pining
","
Harry's Quidditch team has been in a rut for a while, but what really sends them into a pit is the injury of their keeper, Ron. Unable to play, he suggests they find a new Keeper. The only problem? The best quidditch player to apply happens to be the one and only Draco Malfoy, and Harry Potter can't decide how to feel about it.
"
101 Ways Not to Figure Out a Triwizard Clue,killerkittens22,24332065,23 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"2,157",2,6,124,21,750,"
No Archive Warnings ApplyHermione Granger & Harry Potter & Ron WeasleyHermione Granger Harry Potter Ron Weasley Minerva McGonagallLists Humor Friendship Fluff and Humor Triwizard Tournament Hogwarts Fourth Year Not Canon Compliant Destruction For Science! Stress Relief Don't Try This At Home This was based off of my many ideas to destroy old flipphones Fluff and Crack Crack Hermione is more dangerous than she pretends to be Ron and Harry are bros but also idiots
","
WARNING: Do not try this at home.What if Harry had been a little bit more devoted to figuring out his egg?
"
The Serpent,Austenfanficgal,24332128,23 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,302,1,0,13,0,372,"
No Archive Warnings ApplyHermione Granger/Draco MalfoyTemptation Library Anticipation Clandestine
","
Just a Drabble I posted on strictly Dramione in response to a FanArt challenge based on UpTheHillArt’s incredible work. Definitely check this artist out on Deviant Art: https://www.deviantart.com/upthehillart
"
36 Questions,Moonlight_fingers,24332467,23 May 2020,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"3,205",1,17,161,16,2735,"
Creator Chose Not To Use Archive WarningsHermione Granger/Draco MalfoyHermione Granger Draco Malfoy Blaise Zabini (mentioned)Fluff and Humor Sexual tension but nothing really happens Ministry of Magic Employee Draco Malfoy Ministry of Magic Employee Hermione Granger Enchanted nachos The 36 questions thing is based on a real life study Short discussion of mental health issues - Draco has intrusive thoughts A bit like ""Before Sunrise"" One-Shot
","
“Great. Now Granger,” his voice velvet, “Tell me all your deepest, darkest secrets.” 
“What?” She was stumbling headfirst into giggles. Argh, talk facts, talk facts. “You know, there’s this 1997 Muggle study where they came up with 36 questions to get to know a person better in one conversation. If that’s the sort of thing you had in mind.” 
 Well they call it “36 questions to fall in love”, but that isn’t what it was designed for and that’s not what I’m trying to do here and Malfoy doesn’t have to know.
“Mm. Perfect. Let’s do it.”
"
Tighten the Shackles,Gloryofluv,24332830,18 May 2021,Mature,F/M,Rape/Non-Con,Work in Progress,English,"57,713",22,76,172,27,4760,"
Rape/Non-ConHermione Granger/Severus SnapeHermione Granger Severus Snape Harry Potter Ginny Weasley Ron Weasley Molly WeasleySeverus Snape Lives Anxiety Disorder Werewolf Culture Aggression Isolation Search for a Cure Secrets Fake/Pretend Relationship Post-Traumatic Stress Disorder - PTSD Implied/Referenced Rape/Non-con Implied/Referenced Abortion
","
It started with dysfunction from the beginning.Severus Snape, clear-minded and pragmatic, had no one to turn to for this dilemma. Perhaps the detestable witch who passed the laws would have an idea. He was alone. He was a prisoner to his own isolation. A very furry situation is to be had- ready for chaos?
"
I Will Treat Them All The Same,ViolaMoon,24332908,23 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"1,597",1,0,9,1,103,"
No Archive Warnings ApplyHelga Hufflepuff Rowena Ravenclaw Salazar Slytherin Godric GryffindorFounding of Hogwarts
","
Helga and the other founders are preparing to open Hogwarts for the first time. The other founders want to choose students and train them in the values they hold dear. But what does Helga value?
"
The Brother Sun,ViolaMoon,24332929,23 May 2020,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,English,"2,378",1,0,2,0,31,"
Creator Chose Not To Use Archive WarningsDennis Creevey Bane (Harry Potter) Nigel WolpertGrief/Mourning Stargazing Anxiety
","
Dennis is struggling to settle back into Hogwarts after Colin's death. An unlikely friendship helps him see a new perspective so he is able to overcome his grief. Warnings for anxiety issues, grief and opinions about life after death.
"
Amongst the Mango Trees,ViolaMoon,24332989,22 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"3,256",1,7,163,16,4529,"
No Archive Warnings ApplyHermione Granger/Draco MalfoyHermione Granger Draco Malfoy Mrs Granger (Harry Potter) Mr Granger (Harry Potter)Teen Pregnancy Australia
","
Hermione flees to Australia to live with her parents after she discovers she is pregnant a few months after the war. Under the mango tree, she comes to terms with the fact that the man she loves is marrying someone else and the new life she would now live. Little did she know, things were not as it seemed.
"
greedy,aimetu,24333919,23 May 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"3,001",1,5,752,57,15238,"
Creator Chose Not To Use Archive WarningsSirius Black/Remus LupinSirius Black Remus Lupin James Potter Lily EvansBottom Sirius Black Top Remus Lupin Remus is really fucking jealous Oral Sex Anal Sex Smut Rough Sex Hair Pulling Choking Gay Sirius Black Bisexual Remus Lupin Boys Kissing sirius likes to tease Remus hehe remus is literally a fucking werewolf who is protective over his territory??? This is very much gay Bathroom Sex James Potter and Lily Evans ship wolfstar HARDDD sirius is an oblivious shit who would literally flirt with a fucking plant
","
In which Remus is jealous and needs to make sure Sirius knows who he belongs to.Based on “Greedy” by Ariana Grande.
"
Prepare The Brush For Me (I'm Craving With This Need),Ladderofyears,24333958,04 Aug 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"3,091",1,14,222,41,3467,"
Creator Chose Not To Use Archive WarningsDraco Malfoy/Harry PotterFine Artist! Draco Malfoy Boys In Love Auror Harry Potter Boys Kissing Plot What Plot/Porn Without Plot Porn with Feelings Treacle Tart Body Paint Body Paint Body Worship Nipple Play Licking Nibbling Taste Kink Praise Kink Oral Sex Anal Fingering Anal Sex Taste Of Smut Fest Bottom Draco Malfoy Frottage sight Touch Smell TasteofSmut 2020
","
Harry Potter is feeling artistic. Draco is his canvas. Based on EvAEleanor's amazing prompt: Character A is an artist and his favourite canvas is character B.
"
The Other Side of Spinner's End,sneakybike17,24334117,07 Mar 2022,Teen And Up Audiences,Gen,Graphic Depictions Of Violence,Work in Progress,English,"21,133",15,27,75,6,2959,"
Graphic Depictions Of ViolenceSeverus Snape Tobias Snape Eileen Prince Lily Evans Potter Lily's parents Original Muggle Character(s) Marauders (Harry Potter)Child Abuse Severus Snape Angst Angst and Hurt/Comfort Child Severus Snape Good Severus Snape snape apologist Other Additional Tags to Be Added poor Snape Sad Severus Snape Rating May Change Child Neglect Child Labor Angst Hurt No Comfort
","
Severus Snape's really sad life. Severus had no one to tell him what's right and what's wrong, well, until he was useful. But Severus can't be broken into a side of war because he is already broken. The story of a wizard who experienced everything from another perspective. credit to JK Rowling
"
What You Deserve,Saltcoats_Selkie,24334144,29 Aug 2021,Mature,F/F,"Graphic Depictions Of Violence, Underage",Work in Progress,English,"39,148",9,76,145,10,5227,"
Graphic Depictions Of Violence UnderagePlayer Character/Merula Snyde Player Character & Merula Snyde Merula Snyde/Original Female Character(s)Player Character (Hogwarts Mystery) Merula Snyde Skye Parkin Penny Haywood Rowan Khanna Liz ""Lizard"" Tuttle Tulip Karasu Andre Egwu Charlie Weasley Ben Copper (Hogwarts Mystery) Jae Kim (Hogwarts Mystery) Chiara Lobosca Nymphadora Tonks Ismelda Murk Barnaby Lee Bill Weasley Rubeus Hagrid Rolanda Hooch Slytherin Quidditch Team - Character Gryffindor Quidditch Team — CharacterAlternate Universe - Canon Divergence Female Protagonist Slytherin Purebloods (Harry Potter) Slytherin Pride LGBTQ Themes Coming Out Secret Crush Internalized Homophobia Homophobia Angst Enemies to Lovers Explicit Language POV Lesbian Character Implied Sexual Content Implied/Referenced Self-Harm Implied/Referenced Child Abuse Implied/Referenced Sexual Assault Consensual Sex Panic Attacks Post-Traumatic Stress Disorder - PTSD
","
Life goes on at Hogwarts School of Witchcraft and Wizardry as Jasmine and Merula grow accustomed to their new dynamic. Being the school’s only out gay couple comes with its fair share of hardship though, and the pair of young witches must do their best to overcome the myriad challenges if they hope to make it through first term with their relationship intact.
"
love potion no. 9,ria_green,24334387,05 Jul 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,632",1,155,4332,787,20640,"
No Archive Warnings ApplyLán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn Jiāng Chéng | Jiāng Wǎnyín & Wèi Yīng | Wèi WúxiànLán Zhàn | Lán Wàngjī Wèi Yīng | Wèi Wúxiàn Jiāng Chéng | Jiāng Wǎnyín Niè HuáisāngAlternate Universe - Hogwarts Oblivious Wèi Yīng | Wèi Wúxiàn Fluff and Humor Amortentia Patronus Love Confessions Alternate Universe - Fusion POV Outsider Crossovers & Fandom Fusions
","
Wei Wuxian inhales the pink-colored potion fumes wafting out of the cauldron.""Whoa, this smells just like Lan Zhan's shampoo. Why are you guys brewing Lan Zhan's shampoo?""Jiang Cheng chokes. ""Nobody tell him,"" Nie Huaisang whispers.
"
Preparation Is Half the Battle,SasuNarufan13,24334504,23 May 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,"3,015",1,20,518,55,4837,"
No Archive Warnings ApplyDraco Malfoy/Harry PotterDraco Malfoy Harry Potter Hermione Granger OC CharacterHarry's POV Sequel to The Thought Behind It Veela Draco Massage Therapist Harry Fluff Referenced Mpreg Implied mature content Established slash Doesn't follow epilogue Set around two years after its prequel
","
Apparently green isn't the only colour that suits him. Azure blue too, imagine that. Draco certainly does.
"
Banishing,LocalLeaderKaz,24334630,23 May 2020,Not Rated,No category,No Archive Warnings Apply,Complete Work,English,"1,081",1,9,649,42,6890,"
No Archive Warnings ApplyHarry Potter Death (Supernatural) Sam Winchester Dean WinchesterMagic Dimension Travel Rituals Master of Death Harry Potter Character Death Harry is a Little Shit Master of Death (Harry Potter) Death is so done poor death The Deathly Hallows the ring is pissed harry does not want to be the master of death overworked death Protective Harry Potter Mother Hen Harry Potter Crack Treated Seriously
","
Well when you are stuck in a strange world of course you are going to relay on the first people that offer help even if they happen to be supernatural killing brothers and Death. What could possible go wrong?
"
Bearded Glory,AC_nelli,24334693,23 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,643",1,13,100,16,1503,"
No Archive Warnings ApplyHermione Granger/Ron WeasleyRon Weasley Hermione Granger Harry Potter Ginny Weasleyromione Auror Ron Weasley Bearded Ron Weasley POV Ron Weasley POV Hermione Granger Canon Compliant Post-War Harry Potter & Ron Weasley Friendship Hermione Granger & Harry Potter Friendship
","
When Ron came back from Auror training, Hermione found herself being quite fond of a certain change in Ron's appearance.
"
Nothing,ellemo (kanetrain),24334834,23 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"14,772",2,4,39,5,886,"
Creator Chose Not To Use Archive WarningsHermione Granger/Draco MalfoyHermione Granger Draco Malfoy Harry Potter Ron Weasley additonal HogwartiansCanon Compliant Fluff
","
Draco and Hermione; hormones start it, feelings keep it going and love conquers all. Featuring canon-compliant deleted scenes and Draco's second love: Green Apples. Warning: Contains Tropes.
"
"Another world, same problem",Nichdi,24334852,03 Jun 2020,Teen And Up Audiences,"F/F, F/M, Gen",No Archive Warnings Apply,Work in Progress,English,"8,457",3,3,3,0,115,"
No Archive Warnings ApplyRey/Ben Solo | Kylo RenBen Solo | Kylo Ren Rey (Star Wars) Harry Potter Hermione Granger Draco Malfoy Ron Weasley Original Female Character(s)Alternate Universe - Canon Divergence Alternate Universe - Reincarnation Kissing No Underage Sex
","
Lucretia Greenstone came from family that can be traced their lineage to the Salazar Slytherin itself. For many she is the Slytherin's ice princess,  but they didn't know that she more than what she appear. When a pair of Aurors from wartorn MACUSA sent to Hogwarts to teach new subject: Magical weapon and Physical defence art, Lucretia will soon have the answer to the question that haunted her since she born to this world fifteen years ago with consciousness from Galaxy far far away. Hogwart never saw her the same again.Benjamin Sorne, MACUSA auror, send with mission to prepare Hogwart for modern magic warfare will unexpectedly met a person from his past life.
"
The Removal of Masks,Callmesalticidae,24335107,28 Jun 2020,Teen And Up Audiences,Gen,Graphic Depictions Of Violence,Complete Work,English,"9,428",4,25,124,7,3081,"
Graphic Depictions Of ViolenceEuphemia Potter/Fleamont PotterJames Potter Sirius Black Tom Riddle | Voldemort Fleamont Potter Euphemia Potter Albus Dumbledore Severus SnapeAlternate Universe - Canon Divergence Alternate Hogwarts House Sorting Gryffindor Tom Riddle Death Eaters Portkeys Initiations Businessmen Character Death Gore
","
James Potter is facing the worst. There is nothing to fear. (1978-1979)
"
New Beginnings,Drarrelie,24335392,23 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,365,1,14,101,0,928,"
No Archive Warnings ApplyDraco Malfoy/Harry PotterDraco Malfoy Harry PotterDrabble Ficlet Harry Potter Epilogue What Epilogue | EWE Platform 9 3/4 Hogwarts Eighth Year Pre-Slash POV Draco Malfoy No Dialogue Community: hogwarts365 Facebook: The Pen15 is Mightier
","
It looks authentic, and it feels just like the ones he's held before, and yet... It surely must be a mistake, right?
This work is part of a series of connected weekly drabbles written during 2020.

"
A bedside conversation,moonfairy13,24335971,23 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,940",1,32,223,27,2962,"
No Archive Warnings ApplyHermione Granger/George WeasleyHermione Granger George Weasley Fred Weasley Molly Weasley Bill WeasleyFluff Family Fluff Friends to Lovers Fred Weasley Lives Post-War Post-Hogwarts Romantic Fluff First Kiss
","
After the Battle of Hogwarts, Hermione and George sit together in vigil beside Fred's hospital bed. Will the quiet of the night allow for the conversation they need in order to shift their friendship into something else? AU where Fred survives the wall and the Hermione/Ron kiss never happened.
"
The slaughter of innocence,pink_kitty,24336067,07 Jun 2020,General Audiences,"F/M, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"18,701",3,3,58,1,1834,"
Creator Chose Not To Use Archive WarningsCedric Diggory/Draco Sirius Black/Remus Lupin other implied relationshipsLily Evans Potter Sirius Black Remus Lupin Nymphadora Tonks Charlie Weasley Draco Malfoy Pansy Parkinson Hermione Granger Harry Potter Blaise Zabini Lucius Malfoy
","
The forth year seeing from the perspective of the people that are trying to save Harry's life. Draco has his first love, there is a snake in the grass and changes that will shape their world forever.
"
The Burning Edge of Dawn,stonecoldhedwig,24336238,23 May 2020,Mature,Multi,No Archive Warnings Apply,Complete Work,English,"7,424",6,12,22,3,207,"
No Archive Warnings ApplyRabastan Lestrange/Narcissa Black MalfoyRabastan Lestrange Narcissa Black Malfoy Rodolphus Lestrange Augustus Rookwood Horace Slughorn Lucius Malfoy Draco MalfoyThere is no good ship name for Rabastan and Cissa Narcastan thanks i hate it Angst So much angst Plot twist about Draco Vague reference to sex Implied Sexual Content
","
Love is a thing for fools; a painful, holy thing of two extremes, life or death. Rabastan Lestrange is in love.
"
The Limits of Healing,Aulophobia,24336325,23 May 2020,Mature,"M/M, Multi",Choose Not To Use Archive Warnings,Complete Work,English,"11,218",1,6,19,3,1040,"
Creator Chose Not To Use Archive WarningsTeddy Lupin/James Sirius Potter Teddy Lupin/James Sirius Potter/Original Female Character Teddy Lupin/Original Female CharacterOriginal Female Character(s) Teddy Lupin James Sirius PotterTrainee Healer James Sirius Potter palliative care Confusion Clubbing Recreational Drug Use Polyamory poor communication Chronic Illness Angst with a Happy(ish) Ending Angst and Hurt/Comfort Angst and Feels
","
Living in Grimmauld place with Teddy was perfect.  Or at least it was until Teddy started dating their friend Susan, leaving James feeling left out.  A night out and a sick child, James meets during his first placement of his healer training, changes things though. Just not in any way he could have imagined.
"
Beat box boy’s first time,Apricotcola,24336658,23 May 2020,Explicit,No category,"Graphic Depictions Of Violence, Major Character Death",Complete Work,English,3,1,0,1,0,44,"
Graphic Depictions Of Violence Major Character DeathHanah
", 
